doctor_id,first_name,last_name,specialization,phone_number,email
1,Cesaro,De Brett,Vascular Surgeon,801-768-2048,cdebrett0@businessinsider.com
2,Orel,Waddam,Urologist,925-604-4650,owaddam1@ifeng.com
3,Grethel,Feldstern,Blood thinners,800-333-3195,gfeldstern2@quantcast.com
4,Dacy,Bruggeman,Hematologist,687-716-4503,dbruggeman3@quantcast.com
5,Agna,Gwinnett,Psychiatrist,399-960-5493,agwinnett4@amazon.co.uk
6,Wanda,Tutchings,Rheumatologist,362-631-2373,wtutchings5@nsw.gov.au
7,Skye,Gillingham,Antipsychotics,548-690-4008,sgillingham6@51.la
8,Celisse,Tout,Nephrologist,725-486-1068,ctout7@e-recht24.de
9,Dominic,Hanselmann,Anticonvulsants,111-575-5839,dhanselmann8@seesaa.net
10,Willey,Hartshorne,Diuretics,341-922-5818,whartshorne9@t-online.de
11,Ernestus,Maxstead,Pulmonologist,424-417-6618,emaxsteada@dmoz.org
12,Donalt,Duce,Gastroenterologist,110-767-7521,dduceb@wiley.com
13,Mickie,Racher,General Practitioner,148-731-5950,mracherc@pcworld.com
14,Mersey,Gerish,Nose,265-618-8787,mgerishd@wufoo.com
15,Dodi,Clews,Urologist,250-149-8457,dclewse@pcworld.com
16,Maisey,Segrott,nalgesics,957-924-9758,msegrottf@baidu.com
17,Derward,Sawer,Antihistamines,336-343-3501,dsawerg@squarespace.com
18,Odetta,Kinig,Podiatrist,488-832-3445,okinigh@deviantart.com
19,Carly,Glasser,Podiatrist,769-543-6038,cglasseri@smugmug.com
20,Emilie,Edwick,Infectious Disease Specialist,349-479-1155,eedwickj@blogspot.com
21,Sergio,Casserly,Pediatrician,761-320-2696,scasserlyk@howstuffworks.com
22,Tera,Esmead,Antipsychotics,398-684-8795,tesmeadl@4shared.com
23,Minny,Nicklen,Antibiotics,743-485-3975,mnicklenm@360.cn
24,Nathalie,Milnes,Infectious Disease Specialist,318-303-7480,nmilnesn@dot.gov
25,Joeann,Limming,Chiropractor,624-305-9591,jlimmingo@cornell.edu
26,Ardine,Delagnes,Plastic Surgeon,504-416-5731,adelagnesp@newyorker.com
27,Cyrille,Simonato,Family Medicine,397-389-5234,csimonatoq@narod.ru
28,Lindy,Silburn,Gastroenterologist,370-556-0536,lsilburnr@surveymonkey.com
29,Adey,Dowse,Psychiatrist,280-572-7340,adowses@altervista.org
30,Blinni,Maxwaile,Rheumatologist,314-888-2321,bmaxwailet@pagesperso-orange.fr
31,Eziechiele,McGunley,Infectious Disease Specialist,143-862-5967,emcgunleyu@cdbaby.com
32,Carling,Clarey,Obstetrician,243-168-4419,cclareyv@t-online.de
33,Benjamen,Klimkin,Hematologist,657-507-8884,bklimkinw@utexas.edu
34,Tamera,Bunston,Statins,266-218-4518,tbunstonx@cisco.com
35,Bruis,Dykins,ENT Specialist (Ear,835-276-0184,bdykinsy@kickstarter.com
36,Joycelin,Shortall,Nose,663-545-9265,jshortallz@gmpg.org
37,Miriam,Hembery,Antibiotics,614-476-0313,mhembery10@illinois.edu
38,Appolonia,Dafforne,Hematologist,439-623-1935,adafforne11@house.gov
39,Nick,Ravenhill,Immunologistals,159-147-0092,nravenhill12@engadget.com
40,Betteanne,Bahia,Oncologist,184-438-9805,bbahia13@woothemes.com
41,Yolande,Georgeou,Gynecologist,554-351-3214,ygeorgeou14@aboutads.info
42,Isac,Cristea,Antacids,266-170-9723,icristea15@house.gov
43,Liam,Shimmans,Plastic Surgeon,378-915-4978,lshimmans16@xinhuanet.com
44,Eugenius,Warricker,Vitamins & Supplements,264-272-7699,ewarricker17@apple.com
45,Zsa zsa,Whordley,Antihypertensives,657-414-4597,zwhordley18@blogger.com
46,Griffin,Allott,Immunosuppressants,214-676-2541,gallott19@sourceforge.net
47,Jerrine,Vaszoly,Insulin,650-819-7109,jvaszoly1a@istockphoto.com
48,Freddie,Branchet,Pediatrician,139-646-3073,fbranchet1b@craigslist.org
49,Chrisy,Knighton,Insulin,456-636-8411,cknighton1c@is.gd
50,Dorry,Ridpath,Antibiotics,672-289-0264,dridpath1d@who.int
51,Linnet,Planks,Chiropractor,503-936-7724,lplanks1e@ftc.gov
52,Galvin,Gonning,Vascular Surgeon,630-352-1225,ggonning1f@scribd.com
53,Doralia,Bosma,Urologist,463-190-4086,dbosma1g@last.fm
54,Adelina,O'Criane,Nephrologist,706-636-5897,aocriane1h@technorati.com
55,Zorine,Kenneford,Antidepressants,263-357-3032,zkenneford1i@samsung.com
56,Rich,Jenner,Antihistamines,219-411-6871,rjenner1j@sourceforge.net
57,Efren,Fuente,Antihypertensives,957-843-0290,efuente1k@kickstarter.com
58,Fred,Tinner,Vascular Surgeon,436-163-0859,ftinner1l@wordpress.org
59,Krishnah,Sends,Blood thinners,105-299-9345,ksends1m@xrea.com
60,Far,Rogier,Plastic Surgeon,864-764-3670,frogier1n@cdbaby.com
61,Garreth,Leary,nalgesics,407-657-4141,gleary1o@seesaa.net
62,Agnese,Dorwood,Vascular Surgeon,650-957-7151,adorwood1p@163.com
63,Pascal,Treamayne,Antibiotics,325-835-9704,ptreamayne1q@icq.com
64,Hedda,Penticoot,Neurologist,184-348-6022,hpenticoot1r@exblog.jp
65,Myrle,Leyfield,General Practitioner,933-938-6785,mleyfield1s@taobao.com
66,Reinhard,Prestidge,AntivirCardiologist,611-997-4444,rprestidge1t@disqus.com
67,Callean,Foley,Chiropractor,765-440-2062,cfoley1u@dedecms.com
68,Eduard,Oneile,AntivirCardiologist,421-241-6520,eoneile1v@microsoft.com
69,Kimberlee,Dreghorn,Pediatrician,486-556-7322,kdreghorn1w@unblog.fr
70,Lorita,Millam,Corticosteroids,625-945-7173,lmillam1x@jiathis.com
71,Rhonda,Keilloh,Antifungals,605-894-1562,rkeilloh1y@dell.com
72,Fanchette,Valenta,Antipsychotics,907-479-5090,fvalenta1z@youku.com
73,Pooh,Fallawe,Antacids,630-180-7271,pfallawe20@squidoo.com
74,Hollis,Iacobini,Gastroenterologist,922-349-3603,hiacobini21@goo.gl
75,Brooke,McGaugey,Orthopedic Surgeon,880-822-1214,bmcgaugey22@intel.com
